Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
FALSE,PI_590184-17_GD_A01.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,001_,A01,001_,Apple2019_Box1-4_PM1,15,A01,GD_142,,,,,,,,,,,,
FALSE,PI_590184-17_GD_B04.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,297_,B02,009_,Apple2019_Box1-4_PM1,16,B04,GD_142,152,152,,,,,152.46,152.46,,,,
FALSE,PI_590185-12_Jon_C01.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,002_,A01,002_,Apple2019_Box1-4_PM1,13,C01,GD_142,146,163,,,,,146.28,163.17,,,,
FALSE,PI_590184-17_GD_C02.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,098_,A02,002_,Apple2019_Box1-4_PM1,13,C02,GD_142,153,153,,,,,152.54,152.54,,,,
FALSE,PI_590185-12_Jon_D04.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,298_,B02,010_,Apple2019_Box1-4_PM1,14,D04,GD_142,146,163,,,,,145.92,162.77,,,,
FALSE,PI_247021-04_Coxs_E01.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,003_,A01,003_,Apple2019_Box1-4_PM1,11,E01,GD_142,151,153,,,,,150.68,152.79,,,,
FALSE,PI_590185-12_Jon_E02.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,099_,A02,003_,Apple2019_Box1-4_PM1,11,E02,GD_142,146,163,,,,,145.96,162.92,,,,
FALSE,PI_590184-17_GD_F01.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,195_,B01,003_,Apple2019_Box1-4_PM1,11,F01,GD_142,153,153,,,,,152.88,152.88,,,,
FALSE,PI_247021-04_Coxs_F04.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,299_,B02,011_,Apple2019_Box1-4_PM1,12,F04,GD_142,150,152,,,,,150.3,152.49,,,,
FALSE,PI_588850-11_RBL_G01.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,004_,A01,004_,Apple2019_Box1-4_PM1,9,G01,GD_142,,,,,,,,,,,,
FALSE,PI_247021-04_Coxs_G02.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,100_,A02,004_,Apple2019_Box1-4_PM1,9,G02,GD_142,151,153,,,,,150.4,152.56,,,,
FALSE,PI_590185-12_Jon_H01.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,196_,B01,004_,Apple2019_Box1-4_PM1,9,H01,GD_142,,,,,,,,,,,,
FALSE,PI_588850-11_RBL_H04.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,300_,B02,012_,Apple2019_Box1-4_PM1,10,H04,GD_142,144,151,,,,,143.68,150.39,,,,
FALSE,PI_588817-05_McR_I01.fsa,PI_588817-05_McR,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,005_,A01,005_,Apple2019_Box1-4_PM1,7,I01,GD_142,144,146,,,,,144.06,146.32,,,,
FALSE,PI_588850-11_RBL_I02.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,101_,A02,005_,Apple2019_Box1-4_PM1,7,I02,GD_142,144,151,,,,,143.89,150.59,,,,
FALSE,PI_247021-04_Coxs_J01.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,197_,B01,005_,Apple2019_Box1-4_PM1,7,J01,GD_142,151,153,,,,,150.77,152.98,,,,
FALSE,PI_588817-05_McR_J04.fsa,PI_588817-05_McR,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,301_,B02,013_,Apple2019_Box1-4_PM1,8,J04,GD_142,144,146,,,,,143.74,146.04,,,,
FALSE,PI_588953-14_BD_K01.fsa,PI_588953-14_BD,None,CU_2019,PM_1_GD142_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,006_,A01,006_,Apple2019_Box1-4_PM1,5,K01,GD_142,144,153,,,,,144.06,152.88,,,,
